transaction_id,customer_id,customer_name,account_type,transaction_date,transaction_type,amount,merchant_category,merchant_name,country,flagged_by_system,account_balance_after,notes
TXN-100351,CUST-1016,Fatima Al-Rashid,savings,2026-03-06,credit,137.34,other,Starbucks,US,False,33202.58,
TXN-100083,CUST-1016,Fatima Al-Rashid,savings,2026-03-06,credit,208.98,other,Shell Gas,US,False,32718.54,
TXN-100465,CUST-1025,Christine Lee,checking,2026-03-06,credit,80.06,retail,Home Depot,US,False,22492.26,
TXN-100141,CUST-1023,Nadia Suleiman,checking,2026-03-07,credit,97.93,retail,Home Depot,US,False,40095.81,
TXN-100411,CUST-1018,Yuki Tanaka,checking,2026-03-07,credit,89.3,utilities,AT&T,US,False,47223.86,
TXN-100355,CUST-1015,Kevin Torres,savings,2026-03-08,credit,181.04,retail,Home Depot,US,False,9876.11,
TXN-100360,CUST-1024,Paul Adeyemi,checking,2026-03-08,credit,79.83,utilities,Con Edison,US,False,42770.55,
TXN-100278,CUST-1014,Rachel Kim,savings,2026-03-08,debit,178.71,utilities,Comcast,US,False,8843.01,
TXN-100115,CUST-1020,Samuel Green,savings,2026-03-08,debit,107.69,retail,Costco,US,False,41822.72,
TXN-100238,CUST-1008,Elena Petrov,investment,2026-03-09,debit,706.96,atm,Chase ATM,US,False,-14478.29,
TXN-100277,CUST-1022,Derek Williams,checking,2026-03-09,debit,37.43,utilities,Comcast,US,False,7927.01,
TXN-100299,CUST-1020,Samuel Green,savings,2026-03-09,debit,223.59,retail,Walmart,US,False,40896.54,
TXN-100399,CUST-1024,Paul Adeyemi,checking,2026-03-09,credit,187.34,retail,Best Buy,US,False,42587.33,
TXN-100282,CUST-1025,Christine Lee,checking,2026-03-09,credit,140.12,other,Starbucks,US,False,22016.09,
TXN-100310,CUST-1022,Derek Williams,checking,2026-03-11,credit,26.26,other,CVS Pharmacy,US,False,7827.08,
TXN-100476,CUST-1014,Rachel Kim,savings,2026-03-11,debit,77.2,utilities,Duke Energy,US,False,7860.14,
TXN-100088,CUST-1016,Fatima Al-Rashid,savings,2026-03-11,debit,82.2,retail,Target,US,False,33108.22,
TXN-100265,CUST-1025,Christine Lee,checking,2026-03-11,credit,39.42,utilities,AT&T,US,False,21874.53,
TXN-100059,CUST-1012,Angela Brooks,business,2026-03-11,credit,416.38,other,Starbucks,US,False,17318.23,
TXN-100219,CUST-1003,David Chen,business,2026-03-11,withdrawal,4909.06,atm,Citibank ATM,US,False,21576.28,miscellaneous
TXN-100034,CUST-1007,Ahmed Hassan,checking,2026-03-12,credit,433.28,utilities,AT&T,US,False,29597.51,
TXN-100481,CUST-1025,Christine Lee,checking,2026-03-12,credit,168.98,retail,Amazon,US,False,22661.24,
TXN-100142,CUST-1023,Nadia Suleiman,checking,2026-03-12,debit,144.41,other,Uber,US,False,39951.4,
TXN-100367,CUST-1018,Yuki Tanaka,checking,2026-03-12,debit,89.4,retail,Home Depot,US,False,47016.35,
TXN-100058,CUST-1012,Angela Brooks,business,2026-03-12,credit,133.05,other,Starbucks,US,False,16901.85,
TXN-100410,CUST-1021,Olga Ivanova,savings,2026-03-12,debit,177.09,retail,Walmart,US,False,30427.69,
TXN-100043,CUST-1009,Carlos Reyes,business,2026-03-13,debit,376.51,retail,Walmart,US,False,41273.66,
TXN-100454,CUST-1018,Yuki Tanaka,checking,2026-03-13,credit,209.37,other,Starbucks,US,False,47525.48,
TXN-100392,CUST-1016,Fatima Al-Rashid,savings,2026-03-13,credit,153.34,retail,Walmart,US,False,33116.78,
TXN-100005,CUST-1001,James Okafor,business,2026-03-13,credit,423.0,retail,Target,US,False,6862.61,
TXN-100477,CUST-1021,Olga Ivanova,savings,2026-03-13,debit,227.54,retail,Target,US,False,30199.75,
TXN-100078,CUST-1015,Kevin Torres,savings,2026-03-14,debit,188.47,retail,Home Depot,US,False,9215.02,
TXN-100364,CUST-1025,Christine Lee,checking,2026-03-14,debit,244.39,utilities,Duke Energy,US,False,21668.71,
TXN-100006,CUST-1002,Maria Santos,checking,2026-03-14,credit,206.57,retail,Target,US,False,16226.7,
TXN-100052,CUST-1011,Thomas Nguyen,savings,2026-03-14,debit,467.3,utilities,Comcast,US,False,35903.07,
TXN-100045,CUST-1009,Carlos Reyes,business,2026-03-14,debit,427.16,retail,Costco,US,False,41102.9,
TXN-100284,CUST-1015,Kevin Torres,savings,2026-03-14,credit,184.45,retail,Target,US,False,9919.2,
TXN-100401,CUST-1017,Brian O'Connor,checking,2026-03-15,credit,92.74,other,Starbucks,US,False,37634.03,
TXN-100050,CUST-1010,Susan Park,checking,2026-03-15,credit,164.93,utilities,AT&T,US,False,39461.86,
TXN-100098,CUST-1018,Yuki Tanaka,checking,2026-03-15,debit,144.55,utilities,Con Edison,US,False,48645.66,
TXN-100322,CUST-1018,Yuki Tanaka,checking,2026-03-15,debit,108.82,other,Shell Gas,US,False,47214.53,
TXN-100037,CUST-1008,Elena Petrov,investment,2026-03-15,credit,236.69,retail,Best Buy,US,False,14883.74,
TXN-100152,CUST-1024,Paul Adeyemi,checking,2026-03-16,debit,139.68,other,McDonald's,US,False,43180.86,
TXN-100442,CUST-1019,Diana Mbeki,savings,2026-03-17,debit,272.84,utilities,City Water Dept,US,False,7858.11,
TXN-100346,CUST-1021,Olga Ivanova,savings,2026-03-17,debit,250.16,other,McDonald's,US,False,30191.9,
TXN-100127,CUST-1021,Olga Ivanova,savings,2026-03-17,debit,417.06,utilities,Con Edison,US,False,30201.85,
TXN-100151,CUST-1024,Paul Adeyemi,checking,2026-03-18,debit,308.72,other,McDonald's,US,False,43320.54,
TXN-100290,CUST-1015,Kevin Torres,savings,2026-03-18,debit,32.5,retail,Home Depot,US,False,9886.7,
TXN-100415,CUST-1018,Yuki Tanaka,checking,2026-03-18,debit,42.96,other,CVS Pharmacy,US,False,47180.9,
TXN-100288,CUST-1019,Diana Mbeki,savings,2026-03-18,credit,127.72,utilities,Con Edison,US,False,7831.86,
TXN-100475,CUST-1023,Nadia Suleiman,checking,2026-03-18,debit,65.79,retail,Costco,US,False,39888.0,
TXN-100236,CUST-1008,Elena Petrov,investment,2026-03-18,debit,3921.66,atm,Chase ATM,US,False,-12522.69,
TXN-100176,CUST-1002,Maria Santos,checking,2026-03-19,debit,2644.33,retail,Amazon,IR,False,-33313.63,
TXN-100035,CUST-1007,Ahmed Hassan,checking,2026-03-19,credit,366.82,retail,Target,US,False,29964.33,
TXN-100091,CUST-1017,Brian O'Connor,checking,2026-03-19,debit,447.4,other,CVS Pharmacy,US,False,37642.77,
TXN-100011,CUST-1003,David Chen,business,2026-03-20,debit,380.33,utilities,Comcast,US,False,37760.87,
TXN-100014,CUST-1003,David Chen,business,2026-03-20,debit,343.34,utilities,City Water Dept,US,False,37216.4,
TXN-100447,CUST-1021,Olga Ivanova,savings,2026-03-20,credit,85.49,retail,Amazon,US,False,30721.74,
TXN-100490,CUST-1014,Rachel Kim,savings,2026-03-21,debit,288.81,retail,Home Depot,US,False,7861.83,
TXN-100093,CUST-1017,Brian O'Connor,checking,2026-03-21,debit,283.13,utilities,Duke Energy,US,False,36955.63,
TXN-100079,CUST-1015,Kevin Torres,savings,2026-03-21,credit,335.06,utilities,Con Edison,US,False,9550.08,
TXN-100272,CUST-1014,Rachel Kim,savings,2026-03-21,credit,60.99,utilities,Duke Energy,US,False,9318.42,
TXN-100261,CUST-1015,Kevin Torres,savings,2026-03-21,debit,83.02,utilities,Duke Energy,US,False,10085.5,
